Measure Mode: ABSORB
StartWaveLength: 1000.0
EndWaveLength:  190.0
Step:   1nm
ID, WaveLength, VALUE
1, 1000.0, -0.009
2,  999.0, -0.009
3,  998.0, -0.009
4,  997.0, -0.009
5,  996.0, -0.009
6,  995.0, -0.009
7,  994.0, -0.009
8,  993.0, -0.009
9,  992.0, -0.009
10,  991.0, -0.009
11,  990.0, -0.009
12,  989.0, -0.009
13,  988.0, -0.009
14,  987.0, -0.009
15,  986.0, -0.008
16,  985.0, -0.008
17,  984.0, -0.008
18,  983.0, -0.008
19,  982.0, -0.008
20,  981.0, -0.008
21,  980.0, -0.008
28,  973.0, -0.008
29,  972.0, -0.008
30,  971.0, -0.008
31,  970.0, -0.008
32,  969.0, -0.008
33,  968.0, -0.008
34,  967.0, -0.007
35,  966.0, -0.007
36,  965.0, -0.007
37,  964.0, -0.007
38,  963.0, -0.007
39,  962.0, -0.007
40,  961.0, -0.007
41,  960.0, -0.007
42,  959.0, -0.007
43,  958.0, -0.007
44,  957.0, -0.007
45,  956.0, -0.007
46,  955.0, -0.007
47,  954.0, -0.007
48,  953.0, -0.007
49,  952.0, -0.007
50,  951.0, -0.007
51,  950.0, -0.007
52,  949.0, -0.007
53,  948.0, -0.007
54,  947.0, -0.007
55,  946.0, -0.007
56,  945.0, -0.006
57,  944.0, -0.006
58,  943.0, -0.006
59,  942.0, -0.006
60,  941.0, -0.006
61,  940.0, -0.006
62,  939.0, -0.006
63,  938.0, -0.006
64,  937.0, -0.007
65,  936.0, -0.007
66,  935.0, -0.007
67,  934.0, -0.007
68,  933.0, -0.007
69,  932.0, -0.007
70,  931.0, -0.007
71,  930.0, -0.007
72,  929.0, -0.007
73,  928.0, -0.007
74,  927.0, -0.007
75,  926.0, -0.007
76,  925.0, -0.007
77,  924.0, -0.007
78,  923.0, -0.007
79,  922.0, -0.007
80,  921.0, -0.007
81,  920.0, -0.007
82,  919.0, -0.007
83,  918.0, -0.007
84,  917.0, -0.007
85,  916.0, -0.007
86,  915.0, -0.007
87,  914.0, -0.007
88,  913.0, -0.007
89,  912.0, -0.007
90,  911.0, -0.007
91,  910.0, -0.007
92,  909.0, -0.007
93,  908.0, -0.007
94,  907.0, -0.007
95,  906.0, -0.007
96,  905.0, -0.007
97,  904.0, -0.007
98,  903.0, -0.007
99,  902.0, -0.007
100,  901.0, -0.007
101,  900.0, -0.007
102,  899.0, -0.007
103,  898.0, -0.007
104,  897.0, -0.007
105,  896.0, -0.007
106,  895.0, -0.007
107,  894.0, -0.007
108,  893.0, -0.007
109,  892.0, -0.007
110,  891.0, -0.007
111,  890.0, -0.007
112,  889.0, -0.007
113,  888.0, -0.007
114,  887.0, -0.007
115,  886.0, -0.007
116,  885.0, -0.007
117,  884.0, -0.007
118,  883.0, -0.007
119,  882.0, -0.007
120,  881.0, -0.007
121,  880.0, -0.007
122,  879.0, -0.007
123,  878.0, -0.007
124,  877.0, -0.007
125,  876.0, -0.007
126,  875.0, -0.007
127,  874.0, -0.007
128,  873.0, -0.007
129,  872.0, -0.007
130,  871.0, -0.007
131,  870.0, -0.007
132,  869.0, -0.007
133,  868.0, -0.007
134,  867.0, -0.007
135,  866.0, -0.007
136,  865.0, -0.007
137,  864.0, -0.007
138,  863.0, -0.007
139,  862.0, -0.007
140,  861.0, -0.007
141,  860.0, -0.007
142,  859.0, -0.007
