Measure Mode: ABSORB
StartWaveLength: 1000.0
EndWaveLength:  190.0
Step:   1nm
ID, WaveLength, VALUE
1, 1000.0, -0.009
2,  999.0, -0.009
3,  998.0, -0.009
4,  997.0, -0.009
5,  996.0, -0.009
6,  995.0, -0.009
7,  994.0, -0.009
8,  993.0, -0.009
9,  992.0, -0.009
10,  991.0, -0.009
11,  990.0, -0.009
12,  989.0, -0.009
13,  988.0, -0.009
14,  987.0, -0.009
15,  986.0, -0.009
16,  985.0, -0.009
17,  984.0, -0.009
18,  983.0, -0.009
19,  982.0, -0.009
20,  981.0, -0.009
21,  980.0, -0.009
22,  979.0, -0.009
23,  978.0, -0.009
24,  977.0, -0.009
25,  976.0, -0.010
26,  975.0, -0.009
27,  974.0, -0.010
28,  973.0, -0.010
29,  972.0, -0.010
30,  971.0, -0.010
31,  970.0, -0.010
32,  969.0, -0.010
33,  968.0, -0.010
34,  967.0, -0.010
35,  966.0, -0.010
36,  965.0, -0.010
37,  964.0, -0.010
38,  963.0, -0.010
39,  962.0, -0.010
40,  961.0, -0.010
41,  960.0, -0.009
42,  959.0, -0.009
43,  958.0, -0.009
44,  957.0, -0.009
45,  956.0, -0.009
46,  955.0, -0.009
47,  954.0, -0.009
48,  953.0, -0.009
49,  952.0, -0.008
50,  951.0, -0.008
51,  950.0, -0.008
52,  949.0, -0.008
53,  948.0, -0.008
54,  947.0, -0.007
55,  946.0, -0.007
56,  945.0, -0.007
57,  944.0, -0.007
58,  943.0, -0.007
59,  942.0, -0.007
60,  941.0, -0.007
61,  940.0, -0.007
62,  939.0, -0.007
63,  938.0, -0.007
64,  937.0, -0.007
65,  936.0, -0.007
66,  935.0, -0.007
67,  934.0, -0.007
68,  933.0, -0.006
69,  932.0, -0.006
70,  931.0, -0.006
71,  930.0, -0.006
72,  929.0, -0.006
73,  928.0, -0.006
74,  927.0, -0.006
75,  926.0, -0.006
76,  925.0, -0.006
77,  924.0, -0.006
78,  923.0, -0.006
79,  922.0, -0.006
80,  921.0, -0.006
81,  920.0, -0.006
82,  919.0, -0.006
83,  918.0, -0.006
84,  917.0, -0.006
85,  916.0, -0.006
86,  915.0, -0.006
87,  914.0, -0.006
88,  913.0, -0.006
89,  912.0, -0.006
90,  911.0, -0.006
91,  910.0, -0.006
92,  909.0, -0.006
93,  908.0, -0.006
94,  907.0, -0.006
95,  906.0, -0.006
96,  905.0, -0.006
97,  904.0, -0.005
98,  903.0, -0.005
99,  902.0, -0.005
100,  901.0, -0.005
101,  900.0, -0.005
102,  899.0, -0.005
103,  898.0, -0.005
104,  897.0, -0.005
105,  896.0, -0.005
106,  895.0, -0.005
107,  894.0, -0.005
108,  893.0, -0.005
109,  892.0, -0.005
110,  891.0, -0.005
111,  890.0, -0.005
112,  889.0, -0.005
113,  888.0, -0.005
114,  887.0, -0.005
115,  886.0, -0.005
116,  885.0, -0.005
117,  884.0, -0.005
118,  883.0, -0.005
119,  882.0, -0.005
120,  881.0, -0.005
121,  880.0, -0.005
122,  879.0, -0.005
123,  878.0, -0.005
124,  877.0, -0.005
125,  876.0, -0.005
126,  875.0, -0.005
127,  874.0, -0.005
128,  873.0, -0.005
129,  872.0, -0.005
130,  871.0, -0.005
131,  870.0, -0.005
132,  869.0, -0.005
133,  868.0, -0.005
134,  867.0, -0.005
135,  866.0, -0.006
136,  865.0, -0.006
