Measure Mode: ABSORB
StartWaveLength: 1000.0
EndWaveLength:  190.0
Step:   1nm
ID, WaveLength, VALUE
1, 1000.0, -0.011
2,  999.0, -0.011
3,  998.0, -0.011
4,  997.0, -0.011
5,  996.0, -0.010
6,  995.0, -0.010
7,  994.0, -0.010
8,  993.0, -0.010
9,  992.0, -0.010
10,  991.0, -0.010
11,  990.0, -0.010
12,  989.0, -0.010
13,  988.0, -0.010
14,  987.0, -0.010
15,  986.0, -0.010
16,  985.0, -0.010
17,  984.0, -0.010
18,  983.0, -0.010
19,  982.0, -0.010
20,  981.0, -0.010
21,  980.0, -0.010
22,  979.0, -0.009
23,  978.0, -0.009
24,  977.0, -0.009
25,  976.0, -0.009
26,  975.0, -0.009
27,  974.0, -0.009
28,  973.0, -0.009
29,  972.0, -0.009
30,  971.0, -0.009
31,  970.0, -0.009
32,  969.0, -0.009
33,  968.0, -0.009
34,  967.0, -0.009
35,  966.0, -0.009
36,  965.0, -0.009
37,  964.0, -0.009
38,  963.0, -0.009
39,  962.0, -0.009
40,  961.0, -0.008
41,  960.0, -0.009
42,  959.0, -0.008
43,  958.0, -0.008
44,  957.0, -0.009
45,  956.0, -0.009
46,  955.0, -0.009
47,  954.0, -0.008
48,  953.0, -0.008
49,  952.0, -0.008
50,  951.0, -0.008
51,  950.0, -0.008
52,  949.0, -0.008
53,  948.0, -0.008
54,  947.0, -0.008
55,  946.0, -0.008
56,  945.0, -0.008
57,  944.0, -0.008
58,  943.0, -0.008
59,  942.0, -0.008
60,  941.0, -0.008
61,  940.0, -0.008
62,  939.0, -0.008
63,  938.0, -0.008
64,  937.0, -0.009
65,  936.0, -0.009
66,  935.0, -0.009
67,  934.0, -0.009
68,  933.0, -0.009
69,  932.0, -0.009
70,  931.0, -0.009
71,  930.0, -0.009
72,  929.0, -0.009
73,  928.0, -0.009
74,  927.0, -0.009
75,  926.0, -0.009
76,  925.0, -0.009
77,  924.0, -0.009
78,  923.0, -0.009
79,  922.0, -0.009
80,  921.0, -0.009
81,  920.0, -0.009
82,  919.0, -0.009
83,  918.0, -0.009
84,  917.0, -0.009
85,  916.0, -0.009
86,  915.0, -0.009
87,  914.0, -0.009
88,  913.0, -0.009
89,  912.0, -0.009
90,  911.0, -0.009
91,  910.0, -0.009
92,  909.0, -0.009
93,  908.0, -0.009
94,  907.0, -0.009
95,  906.0, -0.009
96,  905.0, -0.009
97,  904.0, -0.009
98,  903.0, -0.009
99,  902.0, -0.009
100,  901.0, -0.009
101,  900.0, -0.009
102,  899.0, -0.009
103,  898.0, -0.009
104,  897.0, -0.009
105,  896.0, -0.009
106,  895.0, -0.009
107,  894.0, -0.009
108,  893.0, -0.009
109,  892.0, -0.009
110,  891.0, -0.009
111,  890.0, -0.009
112,  889.0, -0.009
113,  888.0, -0.009
114,  887.0, -0.009
115,  886.0, -0.009
116,  885.0, -0.009
117,  884.0, -0.009
118,  883.0, -0.010
119,  882.0, -0.010
120,  881.0, -0.010
121,  880.0, -0.010
122,  879.0, -0.010
123,  878.0, -0.010
124,  877.0, -0.010
125,  876.0, -0.010
126,  875.0, -0.010
127,  874.0, -0.010
128,  873.0, -0.010
129,  872.0, -0.010
130,  871.0, -0.010
131,  870.0, -0.010
132,  869.0, -0.010
133,  868.0, -0.010
134,  867.0, -0.010
135,  866.0, -0.010
136,  865.0, -0.010
137,  864.0, -0.010
138,  863.0, -0.010
139,  862.0, -0.010
140,  861.0, -0.010
141,  860.0, -0.010
142,  859.0, -0.010
143,  858.0, -0.010
144,  857.0, -0.010
145,  856.0, -0.010
146,  855.0, -0.010
147,  854.0, -0.010
148,  853.0, -0.010
149,  852.0, -0.010
150,  851.0, -0.010
151,  850.0, -0.010
152,  849.0, -0.010
153,  848.0, -0.010
154,  847.0, -0.010
155,  846.0, -0.010
156,  845.0, -0.010
